Trading Code,Company Name
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
ALARABANK,Al-Arafah Islami Bank Ltd
AAMRANET,aamra networks limited
AAMRATECH,aamra technologies limited
ABB1STMF,AB Bank 1st Mutual fund
ABBANK,AB Bank Limited
ACFL,Aman Cotton Fibrous Limited
ACI,ACI  Limited
ACIFORMULA,ACI Formulations Limited
ACMELAB,The ACME Laboratories Limited
ACMEPL,ACME Pesticides Limited
ACTIVEFINE,Active Fine Chemicals Limited
ADNTEL,ADN Telecom Limited
ADVENT,Advent Pharma Limited
AFCAGRO,AFC Agro Biotech Ltd.
AFTABAUTO,Aftab Automobiles Limited
AGNISYSL,Agni Systems Ltd.
AGRANINS,Agrani Insurance Co. Ltd.
AIBL1STIMF,AIBL 1st Islamic Mutual Fund
AIBLPBOND,AIBL Mudaraba Perpetual Bond
AIL,Alif Industries Limited
AL-HAJTEX,Al-Haj Textile Mills Limited
