Trading Code,News Title,News,Post Date
AIL,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
AFTABAUTO,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
1JANATAMF,1JANATAMF: Q1 Financials,"(Q1 Un-audited): EPU was Tk. (0.23) for July-September, 2022 as against Tk. 0.20 for July-September, 2021; NOCFPU was Tk. 0.03 for July-September, 2022 as against Tk. 0.24 for July-September, 2021. NAV per unit at market price was Tk. 9.87 as on September 30, 2022 and Tk. 10.80 as on June 30, 2022. NAV per unit at cost price was Tk. 10.91 as on September 30, 2022 and Tk. 11.64 as on June 30, 2022.",2022-10-26
ADNTEL,ADNTEL: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
AGRANINS,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
AGNISYSL,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
ACTIVEFINE,ACTIVEFINE: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 9:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
AIBLPBOND,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
AFCAGRO,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
ADVENT,ADVENT: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
ACIFORMULA,ACIFORMULA: Update of Information,"(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)",2022-10-27
ACMEPL,ACMEPL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:30 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
ACMELAB,ACMELAB: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration.,2022-10-27
ACFL,ACFL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
AAMRATECH,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
ABB1STMF,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
AAMRANET,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
1STPRIMFMF,1STPRIMFMF: Trustee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of the Fund has informed that a meeting of the Trustee committee of the Fund will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Fund for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
AIBL1STIMF,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
ABBANK,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
ACI,ACI: Update of Information,"(Continuation news of ACI): The Company has further requested the concerned Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by December 15, 2022. (end)",2022-10-27
